"time","Well","OD600","Strain","Mutant"
150,"A8",0.006,"Strain_A","Knock-IN (+)"
150,"A9",0.007,"Strain_A","Knock-IN (+)"
150,"A10",0.006,"Strain_A","Knock-IN (+)"
150,"A11",0.01,"Strain_A","Knock-IN (+)"
150,"A12",0.011,"Strain_A","Knock-IN (+)"
150,"B1",0.003,"Strain_B","Knock-OUT (-)"
150,"B2",0.005,"Strain_B","Knock-OUT (-)"
150,"B3",0.003,"Strain_B","Knock-OUT (-)"
150,"B4",0.011,"Strain_B","Knock-OUT (-)"
150,"B5",0.01,"Strain_B","Knock-OUT (-)"
150,"B6",0.006,"Strain_B","Knock-OUT (-)"
150,"B7",0.004,"Strain_B","Knock-IN (+)"
150,"B8",0.008,"Strain_B","Knock-IN (+)"
150,"B9",0.006,"Strain_B","Knock-IN (+)"
150,"B10",0.006,"Strain_B","Knock-IN (+)"
150,"B11",0.01,"Strain_B","Knock-IN (+)"
150,"B12",0.007,"Strain_B","Knock-IN (+)"
150,"C1",0.003,"Strain_C","Knock-OUT (-)"
150,"C2",0.005,"Strain_C","Knock-OUT (-)"
150,"C3",0.008,"Strain_C","Knock-OUT (-)"
150,"C4",0.003,"Strain_C","Knock-OUT (-)"
150,"C5",0.004,"Strain_C","Knock-OUT (-)"
150,"C6",0.003,"Strain_C","Knock-OUT (-)"
150,"C7",0.004,"Strain_C","Knock-IN (+)"
150,"C8",0.008,"Strain_C","Knock-IN (+)"
150,"C9",0.004,"Strain_C","Knock-IN (+)"
150,"C10",0.004,"Strain_C","Knock-IN (+)"
150,"C11",0.007,"Strain_C","Knock-IN (+)"
150,"C12",0.008,"Strain_C","Knock-IN (+)"
165,"A1",0.015,"Strain_A","Knock-OUT (-)"
165,"A2",0.004,"Strain_A","Knock-OUT (-)"
165,"A3",0.008,"Strain_A","Knock-OUT (-)"
165,"A4",0.003,"Strain_A","Knock-OUT (-)"
165,"A5",0.006,"Strain_A","Knock-OUT (-)"
165,"A6",0.009,"Strain_A","Knock-OUT (-)"
165,"A7",0.006,"Strain_A","Knock-IN (+)"
165,"A8",0.009,"Strain_A","Knock-IN (+)"
165,"A9",0.009,"Strain_A","Knock-IN (+)"
165,"A10",0.008,"Strain_A","Knock-IN (+)"
165,"A11",0.014,"Strain_A","Knock-IN (+)"
165,"A12",0.016,"Strain_A","Knock-IN (+)"
165,"B1",0.003,"Strain_B","Knock-OUT (-)"
165,"B2",0.007,"Strain_B","Knock-OUT (-)"
165,"B3",0.004,"Strain_B","Knock-OUT (-)"
165,"B4",0.017,"Strain_B","Knock-OUT (-)"
165,"B5",0.014,"Strain_B","Knock-OUT (-)"
165,"B6",0.007,"Strain_B","Knock-OUT (-)"
165,"B7",0.004,"Strain_B","Knock-IN (+)"
165,"B8",0.012,"Strain_B","Knock-IN (+)"
165,"B9",0.007,"Strain_B","Knock-IN (+)"
165,"B10",0.008,"Strain_B","Knock-IN (+)"
165,"B11",0.015,"Strain_B","Knock-IN (+)"
165,"B12",0.01,"Strain_B","Knock-IN (+)"
165,"C1",0.003,"Strain_C","Knock-OUT (-)"
165,"C2",0.006,"Strain_C","Knock-OUT (-)"
165,"C3",0.012,"Strain_C","Knock-OUT (-)"
165,"C4",0.003,"Strain_C","Knock-OUT (-)"
165,"C5",0.004,"Strain_C","Knock-OUT (-)"
165,"C6",0.003,"Strain_C","Knock-OUT (-)"
165,"C7",0.004,"Strain_C","Knock-IN (+)"
165,"C8",0.012,"Strain_C","Knock-IN (+)"
165,"C9",0.005,"Strain_C","Knock-IN (+)"
165,"C10",0.004,"Strain_C","Knock-IN (+)"
165,"C11",0.01,"Strain_C","Knock-IN (+)"
165,"C12",0.012,"Strain_C","Knock-IN (+)"
180,"A1",0.022,"Strain_A","Knock-OUT (-)"
180,"A2",0.005,"Strain_A","Knock-OUT (-)"
180,"A3",0.01,"Strain_A","Knock-OUT (-)"
180,"A4",0.004,"Strain_A","Knock-OUT (-)"
180,"A5",0.008,"Strain_A","Knock-OUT (-)"
180,"A6",0.013,"Strain_A","Knock-OUT (-)"
180,"A7",0.008,"Strain_A","Knock-IN (+)"
180,"A8",0.012,"Strain_A","Knock-IN (+)"
180,"A9",0.013,"Strain_A","Knock-IN (+)"
180,"A10",0.01,"Strain_A","Knock-IN (+)"
180,"A11",0.022,"Strain_A","Knock-IN (+)"
180,"A12",0.025,"Strain_A","Knock-IN (+)"
180,"B1",0.003,"Strain_B","Knock-OUT (-)"
180,"B2",0.009,"Strain_B","Knock-OUT (-)"
180,"B3",0.004,"Strain_B","Knock-OUT (-)"
180,"B4",0.026,"Strain_B","Knock-OUT (-)"
180,"B5",0.022,"Strain_B","Knock-OUT (-)"
180,"B6",0.01,"Strain_B","Knock-OUT (-)"
180,"B7",0.005,"Strain_B","Knock-IN (+)"
180,"B8",0.017,"Strain_B","Knock-IN (+)"
180,"B9",0.01,"Strain_B","Knock-IN (+)"
180,"B10",0.011,"Strain_B","Knock-IN (+)"
180,"B11",0.023,"Strain_B","Knock-IN (+)"
180,"B12",0.014,"Strain_B","Knock-IN (+)"
180,"C1",0.003,"Strain_C","Knock-OUT (-)"
180,"C2",0.008,"Strain_C","Knock-OUT (-)"
180,"C3",0.018,"Strain_C","Knock-OUT (-)"
180,"C4",0.003,"Strain_C","Knock-OUT (-)"
180,"C5",0.005,"Strain_C","Knock-OUT (-)"
180,"C6",0.003,"Strain_C","Knock-OUT (-)"
180,"C7",0.005,"Strain_C","Knock-IN (+)"
180,"C8",0.017,"Strain_C","Knock-IN (+)"
180,"C9",0.006,"Strain_C","Knock-IN (+)"
180,"C10",0.005,"Strain_C","Knock-IN (+)"
180,"C11",0.014,"Strain_C","Knock-IN (+)"
180,"C12",0.018,"Strain_C","Knock-IN (+)"
195,"A1",0.035,"Strain_A","Knock-OUT (-)"
195,"A2",0.006,"Strain_A","Knock-OUT (-)"
195,"A3",0.014,"Strain_A","Knock-OUT (-)"
195,"A4",0.004,"Strain_A","Knock-OUT (-)"
195,"A5",0.01,"Strain_A","Knock-OUT (-)"
195,"A6",0.019,"Strain_A","Knock-OUT (-)"
195,"A7",0.01,"Strain_A","Knock-IN (+)"
195,"A8",0.017,"Strain_A","Knock-IN (+)"
195,"A9",0.019,"Strain_A","Knock-IN (+)"
195,"A10",0.014,"Strain_A","Knock-IN (+)"
195,"A11",0.034,"Strain_A","Knock-IN (+)"
195,"A12",0.039,"Strain_A","Knock-IN (+)"
195,"B1",0.004,"Strain_B","Knock-OUT (-)"
195,"B2",0.013,"Strain_B","Knock-OUT (-)"
195,"B3",0.005,"Strain_B","Knock-OUT (-)"
195,"B4",0.042,"Strain_B","Knock-OUT (-)"
195,"B5",0.035,"Strain_B","Knock-OUT (-)"
195,"B6",0.014,"Strain_B","Knock-OUT (-)"
195,"B7",0.007,"Strain_B","Knock-IN (+)"
195,"B8",0.026,"Strain_B","Knock-IN (+)"
